no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,booking_status,lead_time,avg_price_per_room
2,0,1,2,0,0,0,9,19,0,0,0,0,1,2.3780490544750292,0.1301166503167059
2,0,0,2,0,0,0,9,15,0,6,0,0,1,2.827544742377783,0.4387996097082119
2,0,1,2,1,0,0,12,16,0,0,0,0,1,1.2239385044544455,-0.8206268646091326
2,1,0,1,0,0,0,11,5,0,0,0,1,1,-0.889906081899045,1.36484848788273
2,0,0,2,2,0,0,7,21,0,0,0,0,1,2.5238314397407873,0.28445813001245895
2,0,0,1,1,0,0,10,11,0,0,0,0,1,0.30065006443797837,0.06838005843840471
2,0,1,5,0,0,0,8,22,0,4,0,0,1,1.3575723576147236,-0.19554387184133284
2,0,2,3,0,0,0,8,19,0,0,0,0,1,2.6574652929010654,-0.8576688197361133
2,0,1,2,0,0,0,10,10,0,0,0,0,1,-0.36751920136341226,0.40175765458123114
1,0,0,1,0,0,0,10,6,0,0,0,0,1,-0.8413119534771256,1.210507008186977
2,0,0,4,0,0,0,4,6,0,3,0,0,1,0.02123382601194231,-0.6545554324565025
2,0,1,2,2,0,0,3,25,0,0,0,0,1,0.9323737339229295,0.747482569099718
2,0,4,10,0,0,1,8,3,0,6,0,1,1,0.762294284446212,0.40422711825636315
2,0,0,1,0,0,0,9,11,0,5,0,0,1,0.033382358117422135,-0.17856630907480012
2,0,0,2,0,0,0,7,16,0,0,0,1,1,-0.051657366620936666,-0.9039712636448393
2,0,2,2,1,0,0,12,16,0,3,0,0,1,1.539800339196921,-1.2975420368690094
2,0,1,2,0,0,0,5,13,0,0,0,0,1,2.2930093297366705,-0.3329077887705531
3,0,2,1,0,0,0,8,13,0,0,0,1,1,1.3454238255092437,0.00756951543827806
2,2,2,2,0,0,2,5,27,0,5,0,1,1,0.7258486881297724,2.2183568706002443
1,0,1,2,0,0,0,2,5,0,0,0,0,1,-0.6347869076839685,-1.0150971290257813
3,0,1,1,0,0,1,5,7,0,0,0,0,1,-0.4282618618908114,1.651923640116831
2,0,0,2,0,0,4,4,29,0,7,0,0,1,0.397838321281817,0.001704539209839516
2,0,1,3,0,0,0,12,26,0,0,0,0,1,-0.5861927792620492,-0.1168297171964989
2,0,1,0,1,0,0,4,24,0,0,0,0,1,-0.6469354397894483,-0.3483419367401284
2,0,0,4,0,0,1,5,31,0,0,0,0,1,-0.8048663571606861,0.21654787894632752
2,0,1,2,0,0,0,8,15,0,0,0,0,1,-0.7684207608442466,1.3957167838218807
3,0,2,1,0,0,1,8,13,0,0,0,1,1,0.823036944973611,1.2629831112835326
2,0,0,4,1,0,0,7,26,0,5,0,1,1,1.1267502476106068,-0.7727810059034492
2,0,0,2,2,0,0,10,16,0,0,0,0,1,0.2156103396996196,-0.1322638651660742
1,0,2,2,0,0,0,11,6,0,0,0,1,1,1.5155032749859614,1.4296719093549461
1,0,2,1,0,0,0,10,15,0,0,0,0,1,0.10627355075030112,0.28445813001245895
2,0,0,3,0,0,0,12,29,0,0,0,2,1,2.6453167607955854,-0.47798877968456105
2,0,2,4,0,0,0,8,28,0,0,0,1,1,-0.6833810361058879,0.2958793995099448
2,0,1,2,2,0,0,3,25,0,3,0,0,1,0.9323737339229295,0.747482569099718
1,0,0,2,2,0,0,6,15,0,0,0,0,1,1.8799592381503563,-0.4687282909028159
2,0,1,3,1,0,0,5,9,0,0,0,0,1,-0.52545011873465,0.3184132555455244
2,0,0,4,1,0,0,6,28,0,0,0,0,1,1.0052649265558085,-1.3460052614934759
2,0,0,4,1,0,0,3,9,0,0,0,0,1,-0.2703309445195736,-1.2975420368690094
1,0,1,4,0,0,0,9,7,0,0,0,0,1,0.3492441928598977,0.40175765458123114
3,0,1,2,0,0,0,10,28,0,0,0,0,1,1.9528504307832353,0.7073537843788218
2,0,1,1,0,0,0,8,22,0,0,0,1,1,-0.9385002103209642,1.056165528491224
2,0,2,1,0,0,0,4,3,0,0,0,1,1,0.40998685338729685,-0.5705936675020128
1,0,0,3,0,0,0,11,1,0,0,0,0,1,0.9931163944503287,0.1301166503167059
1,0,0,2,0,0,0,6,15,0,0,0,0,1,1.260384100770885,0.747482569099718
2,0,1,2,0,0,1,10,28,0,0,0,0,1,1.2725326328763649,0.1239429911288757
2,0,0,2,0,0,0,3,23,0,1,0,0,1,-0.28247947662505346,0.3461947218907601
2,0,1,3,0,0,0,8,1,0,0,0,0,1,-0.5740442471565693,0.9296055151407067
2,0,1,0,0,0,0,7,25,0,0,0,1,1,-0.7927178250552063,1.3957167838218807
2,0,2,5,0,0,0,7,9,0,4,0,0,1,0.8108884128681313,-0.08318327462282464
3,0,1,0,0,0,1,4,17,0,0,0,0,1,-0.6955295682113677,0.9635606406737722
2,0,1,1,2,0,0,6,6,0,0,0,1,1,1.977147494994195,0.28445813001245895
2,0,0,2,2,0,0,8,18,0,2,0,1,1,2.8639903386942223,0.28445813001245895
2,0,0,2,0,0,0,6,17,0,0,0,0,1,1.9528504307832353,-0.9502737075535652
2,1,1,2,0,0,0,7,8,0,0,0,0,1,-0.3918162655743719,0.8370006273232549
2,0,0,2,1,0,0,11,11,0,4,0,1,1,-0.4647074582072509,-0.8206268646091326
3,0,2,1,0,0,1,8,28,0,0,0,0,1,-0.003063238199017351,1.651923640116831
1,0,0,2,0,0,0,6,15,0,5,0,0,1,1.260384100770885,0.747482569099718
2,0,0,2,2,0,0,7,17,0,0,0,0,1,2.2930093297366705,0.09924835437755532
2,0,2,1,2,0,0,7,25,0,0,0,0,1,0.3127985965434582,-0.3483419367401284
2,0,0,3,0,0,1,8,18,0,0,0,0,1,0.7137001560242926,1.077773335648629
1,0,2,6,0,0,0,7,5,0,0,0,0,1,-0.889906081899045,1.210507008186977
1,0,2,1,0,0,0,2,28,0,1,0,0,1,-1.011391402953843,-1.413298146640824
2,0,2,3,2,0,0,6,26,0,0,0,0,1,0.033382358117422135,1.0962943132121201
2,0,0,2,0,0,1,10,27,0,0,0,0,1,0.3735412570708574,-0.04274580694253728
2,0,1,3,1,0,0,3,3,0,0,0,0,1,-0.598341311367529,-1.0706600617162527
2,0,4,11,0,0,1,9,13,0,0,0,1,1,1.8556621739393966,0.33446476943388304
2,2,2,2,0,0,2,12,2,0,3,0,0,1,-0.6347869076839685,1.300025066410514
2,0,2,1,0,0,0,6,19,0,0,0,0,1,0.08197648653934146,0.9296055151407067
3,0,1,3,0,0,1,12,26,0,0,0,1,1,0.8594825412900505,0.3029791075759491
2,2,0,1,0,0,2,5,14,0,0,0,0,1,-1.023539935059323,3.556497499562423
2,1,2,3,0,0,0,7,23,0,0,0,1,1,-0.7198266324223273,1.4296719093549461
2,0,1,2,0,0,0,5,13,0,0,0,0,1,2.2930093297366705,-0.3329077887705531
2,0,0,1,0,0,0,8,12,0,0,0,0,1,1.6612856602517194,-0.7959322278578121
2,0,2,2,0,0,0,10,1,0,0,0,2,1,1.5640974034078807,-0.09059166564822106
2,0,1,2,0,0,0,9,9,0,0,0,0,1,1.3818694218256833,-0.4872492684663061
2,0,0,3,0,0,0,9,17,0,0,0,1,1,-0.7076781003168475,0.3668764801699911
2,1,1,3,0,0,2,12,26,0,0,0,2,1,0.4828780460201758,1.5688879240405158
3,0,0,3,0,0,1,8,3,0,0,0,0,1,0.00908529390646248,1.4296719093549461
2,0,0,1,0,0,0,8,6,0,3,0,0,1,1.0052649265558085,-0.014964340597302003
3,0,2,2,0,0,1,5,29,0,0,0,0,1,-0.10025149504285599,1.3787392210553475
2,0,1,3,1,0,0,11,14,0,0,0,2,1,0.4585809818092162,-0.9224922412083294
1,0,2,2,0,0,0,10,14,0,0,0,0,1,0.9445222660284094,0.28445813001245895
3,0,1,1,0,0,1,7,2,0,0,0,0,1,-0.7198266324223273,2.5069754376313025
2,0,0,4,1,0,0,9,27,0,0,0,1,1,1.8435136418339169,-0.6591856768473747
2,0,2,3,0,0,0,4,8,0,0,0,0,1,0.4342839175982565,-0.45792438732411295
2,0,2,4,0,0,0,9,3,0,0,0,1,1,1.6977312565681588,-0.2656149036232046
2,0,0,2,0,0,0,2,16,0,0,0,1,1,-0.8413119534771256,-0.45638097252715554
2,0,0,5,2,0,0,9,6,0,0,0,0,1,1.7706224492010378,0.9635606406737722
2,0,1,4,0,0,0,8,22,0,0,0,0,1,0.7744428165516918,-0.2927790040496574
2,0,3,5,0,0,1,4,4,0,0,0,0,1,-0.9627972745319239,0.6471606072974785
2,0,1,1,2,0,0,6,6,0,0,0,1,1,1.977147494994195,0.28445813001245895
2,0,2,1,1,0,0,10,16,0,5,0,1,1,-0.7319751645278071,0.040598592093168996
2,0,0,5,0,0,0,9,6,0,0,0,1,1,1.7706224492010378,0.9635606406737722
2,1,1,3,0,0,0,10,31,0,0,0,1,1,0.09412501864482128,0.019916833813938477
2,0,0,1,1,0,0,6,23,0,0,0,0,1,-0.02736030240997701,-0.6261566001924839
2,0,2,6,0,0,0,8,18,0,0,0,0,1,0.9931163944503287,-0.1748621135621019
2,0,1,2,2,0,0,5,13,0,0,0,0,1,2.730356485533944,-0.1476980131356495
2,0,1,1,1,0,0,9,26,0,0,0,0,1,-0.5618957150510895,0.21006553679910608
2,2,2,1,0,0,5,6,12,0,0,0,0,1,-0.6590839718949282,2.508210169468868
1,0,0,2,0,0,0,6,15,0,0,0,0,1,1.260384100770885,0.747482569099718
2,2,0,1,0,0,3,3,8,0,0,0,0,1,-0.8291634213716458,-0.7024012911621857
2,0,1,3,0,0,0,2,11,0,0,0,0,1,-0.7319751645278071,-0.45638097252715554
2,0,1,2,0,0,0,11,4,0,0,0,0,1,2.681762357112025,-0.5181175644054568
1,0,2,1,0,0,0,2,28,0,0,0,0,1,-1.011391402953843,-1.413298146640824
2,0,0,3,0,0,0,6,7,0,0,0,0,1,1.5640974034078807,0.747482569099718
3,0,2,3,0,0,1,10,21,0,0,0,1,1,1.5155032749859614,0.7073537843788218
2,0,0,2,0,0,0,10,21,0,0,0,1,1,-0.52545011873465,1.673531447274236
2,0,2,1,0,0,1,10,30,0,0,0,2,1,0.8473340091845707,-0.052006295724282815
2,0,2,4,0,0,1,4,10,0,0,0,1,1,0.1791647433831801,-0.3705671098163168
3,0,0,1,2,0,1,7,23,0,0,0,0,1,0.5922148349694943,2.5687120295096033
2,0,2,1,0,0,1,6,26,0,0,0,0,1,-0.6955295682113677,1.4472668380402618
2,1,0,3,0,0,0,12,8,0,0,0,0,1,0.02123382601194231,0.5005362015865131
2,1,0,2,0,0,2,8,31,0,0,0,0,1,2.985475659749021,2.068645635295364
1,0,0,1,0,0,0,3,10,0,0,0,0,1,-0.598341311367529,-1.0706600617162527
1,0,6,15,0,0,1,3,30,0,0,0,0,1,-0.8777575497935651,0.6875980749777658
2,0,0,4,0,0,1,9,27,0,0,0,1,1,-0.45255892610177106,0.7663122296226003
2,0,0,2,2,0,0,6,15,0,2,0,1,1,2.086484283943513,0.19185324219500713
2,0,1,2,0,0,0,3,25,0,0,0,0,1,-0.07595443083189633,-0.17856630907480012
1,2,4,9,0,0,2,11,2,0,0,0,0,1,-0.6590839718949282,2.4828981667987646
2,0,0,2,2,0,0,7,17,0,0,0,0,1,2.2930093297366705,0.09924835437755532
2,0,0,1,0,0,0,11,26,0,0,0,1,1,-0.6226383755784887,-0.0550931253181977
2,0,1,3,0,0,0,9,5,0,0,0,0,1,1.7949195134119975,-0.16930582029305502
1,0,0,2,0,0,0,6,15,0,1,0,0,1,1.260384100770885,0.747482569099718
2,0,2,2,0,0,1,10,7,0,0,0,1,1,-0.4768559903127307,1.0407313805216487
2,0,0,3,0,0,0,11,3,0,0,0,0,1,2.6696138250065453,-0.5181175644054568
2,0,0,1,1,0,0,10,19,0,0,0,1,1,-0.41611332978533155,0.06838005843840471
2,0,0,3,0,0,4,9,13,0,0,0,0,1,0.1427191470667406,0.7437783735870197
2,0,1,1,1,0,0,10,3,0,0,0,1,1,-0.7198266324223273,0.7166142731605674
2,0,2,5,0,0,0,6,25,0,0,0,0,1,0.7744428165516918,-0.8104403269492129
2,0,0,2,0,0,0,6,17,0,0,0,0,1,1.9528504307832353,-0.9502737075535652
2,0,1,2,0,0,0,6,20,0,0,0,0,1,0.00908529390646248,0.6517908516883513
2,0,0,2,1,0,0,2,26,0,0,0,0,1,-0.950648742426444,-0.8268005237969628
2,0,2,3,0,0,0,10,23,0,0,0,2,1,2.086484283943513,-0.3529721811310012
2,0,0,2,2,0,0,6,24,0,0,0,0,1,2.195821072892832,0.09924835437755532
2,0,2,5,0,0,0,7,27,0,7,0,0,1,0.9688193302393691,-0.19554387184133284
2,0,2,1,0,0,0,5,29,0,0,0,1,1,0.27635300022701875,-0.7727810059034492
2,0,2,2,0,0,0,10,1,0,0,0,1,1,1.0052649265558085,0.09616152478364043
2,0,1,2,0,0,0,4,4,0,0,0,0,1,0.20346180759413976,-0.7959322278578121
2,0,0,3,0,0,0,5,5,0,0,0,0,1,2.122929880259953,-0.4872492684663061
2,0,0,2,0,0,0,4,1,0,1,0,0,1,-0.9749458066374037,0.16098494625585652
3,0,0,4,0,0,1,8,24,0,0,0,0,1,0.6408089633914136,0.7768074502419107
2,0,2,1,0,0,0,8,28,0,0,0,0,1,-0.3432221371524526,0.1239429911288757
2,0,2,4,0,0,0,7,10,0,5,0,0,1,0.7865913486571716,-1.0351615213862293
3,0,1,1,0,0,1,10,17,0,2,0,1,1,-0.3918162655743719,1.6241421737715953
2,0,0,3,0,0,1,12,29,0,0,0,0,1,-0.33107360504697275,3.5132818852476118
2,0,1,2,0,0,0,3,25,0,0,0,0,1,-0.07595443083189633,-0.17856630907480012
2,0,1,1,1,0,0,7,9,0,0,0,0,1,-0.4282618618908114,-0.014964340597302003
2,0,0,2,2,0,0,6,24,0,0,0,1,1,2.195821072892832,0.28445813001245895
1,0,2,5,1,0,0,6,17,0,3,0,1,1,-0.29462800873053324,-0.2967918825217469
2,2,2,3,0,0,2,7,9,0,0,0,0,1,0.6286604312859337,2.0609285613105763
2,0,2,5,1,0,0,11,17,0,0,0,0,1,-0.950648742426444,-0.8363696955380995
2,0,0,3,1,0,0,11,3,0,6,0,0,1,-0.3189250729414929,-0.8206268646091326
2,0,0,2,0,0,0,6,3,0,0,0,0,1,1.1267502476106068,-0.17856630907480012
1,0,2,4,0,0,0,7,6,0,0,0,0,1,1.9528504307832353,0.1301166503167059
2,0,1,2,0,0,1,10,28,0,0,0,0,1,1.2725326328763649,0.1239429911288757
2,0,0,2,2,0,0,7,1,0,0,0,0,1,2.098632816048993,-0.1322638651660742
2,1,0,1,0,0,0,11,5,0,0,0,1,1,-0.889906081899045,1.36484848788273
2,0,1,2,0,0,1,8,12,0,3,0,1,1,1.1267502476106068,0.6795723180335865
3,0,2,2,0,0,1,12,23,0,0,0,0,1,-0.29462800873053324,0.7752640354449537
2,0,0,3,1,0,0,10,4,0,0,0,0,1,-0.7684207608442466,0.3184132555455244
1,0,0,2,0,0,0,6,15,0,0,0,0,1,1.260384100770885,0.747482569099718
2,0,2,1,0,0,0,7,11,0,0,0,0,1,0.36139272496537755,-0.9039712636448393
2,0,0,4,0,0,0,8,31,0,0,0,0,1,2.086484283943513,-0.45792438732411295
2,0,2,5,0,0,0,7,2,0,7,0,0,1,-0.36751920136341226,0.42953912092646684
3,0,0,3,0,0,1,9,7,0,0,0,0,1,-0.03950883451545684,1.9297383035691864
2,0,2,2,1,0,0,2,5,0,0,0,0,1,-0.9749458066374037,-0.7650639319186615
2,0,0,2,2,0,0,8,18,0,6,0,1,1,2.8639903386942223,0.28445813001245895
2,0,2,1,0,0,1,4,16,0,0,0,0,1,-0.2703309445195736,0.40175765458123114
2,0,0,3,0,0,1,10,20,0,0,0,2,1,0.08197648653934146,0.8184796497597647
2,2,4,10,0,0,2,8,14,0,0,0,0,1,1.6734341923571991,1.6411197365381276
2,0,0,3,0,0,1,4,27,0,7,0,0,1,-0.7076781003168475,1.0768472867704546
2,0,2,5,1,0,0,5,11,0,0,0,0,1,0.23990740391057924,0.11931274673800338
2,0,0,3,0,0,0,11,3,0,0,0,0,1,2.6696138250065453,-0.5181175644054568
3,0,1,2,0,0,1,8,15,0,4,0,1,1,-0.7198266324223273,2.5069754376313025
3,0,1,1,0,0,1,3,19,0,0,0,1,1,-0.4768559903127307,0.790698183414529
2,0,2,3,2,0,0,4,15,0,0,0,0,1,-0.7198266324223273,1.3463275103192398
2,0,1,1,2,0,0,6,6,0,0,0,1,1,1.977147494994195,0.28445813001245895
2,0,0,4,2,0,0,9,21,0,8,0,1,1,2.5724255681627066,0.3461947218907601
2,0,1,1,0,0,0,10,10,0,0,0,0,1,1.0903046512941674,-1.1046151872493182
1,0,0,3,0,0,0,11,1,0,0,0,0,1,0.9931163944503287,0.1301166503167059
2,0,2,2,1,0,0,4,1,0,0,0,1,1,-0.19743975188669463,-0.9302093151931171
2,0,0,2,2,0,0,7,21,0,9,0,0,1,2.5238314397407873,0.28445813001245895
2,0,1,1,0,0,1,9,7,0,0,0,0,1,-1.023539935059323,0.40175765458123114
2,0,0,2,2,0,0,7,1,0,0,0,0,1,2.098632816048993,-0.1322638651660742
2,1,3,9,0,0,0,8,1,0,0,0,1,1,0.8594825412900505,0.4298478038858581
2,0,0,1,0,0,1,7,2,0,5,0,0,1,-0.10025149504285599,0.790698183414529
2,0,0,2,0,0,0,6,17,0,0,0,0,1,1.9528504307832353,-0.9502737075535652
2,0,1,1,0,0,0,6,4,0,0,0,0,1,2.31730639394763,-1.3268669180112025
2,0,0,1,0,0,0,10,22,0,0,0,0,1,-0.8534604855826055,1.673531447274236
1,0,0,4,0,0,0,5,25,0,4,0,1,1,0.89592813760649,0.2767410560276713
2,0,0,2,0,0,0,4,15,0,0,0,0,1,0.4585809818092162,-0.6415907481620592
2,0,2,2,0,0,0,3,20,0,0,0,0,1,-0.29462800873053324,-0.9502737075535652
2,0,1,1,2,0,0,7,30,0,0,0,1,1,2.6331682286901055,0.28445813001245895
2,0,2,1,0,0,0,12,24,0,6,0,0,1,3.216297769753137,-0.8484083309543683
1,0,0,1,0,0,0,5,19,0,0,0,0,1,-0.3067765408360131,0.48510205361693787
2,0,0,4,0,0,0,8,31,0,0,0,1,1,1.406166486036643,-0.011877511003386678
2,0,2,3,0,0,0,9,2,0,0,0,0,1,1.1510473118215665,0.4341693653173392
2,0,2,3,0,0,1,5,12,0,7,0,0,1,-0.36751920136341226,0.8277401385415093
2,0,0,3,1,0,0,12,29,0,0,0,2,1,1.6612856602517194,-0.8113663758273875
2,0,1,1,2,0,0,6,6,0,0,0,0,1,1.977147494994195,0.09924835437755532
2,0,2,1,1,1,0,8,21,0,1,0,0,1,0.8716310733955304,-0.070527273287773
1,0,0,3,0,0,0,11,1,0,0,0,0,1,0.9931163944503287,0.1301166503167059
2,0,2,3,0,0,0,4,8,0,5,0,0,1,2.232266669209271,-0.8576688197361133
1,0,0,3,0,0,2,5,26,0,4,0,0,1,0.9080766697119699,2.5332134891795803
2,0,2,3,0,0,1,4,21,0,0,0,0,1,-0.33107360504697275,0.19802690138283732
2,0,2,3,0,0,1,9,30,0,0,0,2,1,0.9080766697119699,0.8851551689883299
1,0,2,1,1,0,0,2,21,0,4,0,0,1,-0.9142031461100045,-0.8268005237969628
2,0,1,2,2,0,0,8,22,0,0,0,1,1,1.333275293403764,-0.10911264321171125
2,0,1,0,0,0,0,7,10,0,0,0,1,1,1.2117899723489656,-0.014964340597302003
2,1,1,4,0,0,0,10,12,0,0,0,1,1,-0.13669709135929548,0.901824048795471
2,0,0,3,0,0,0,6,7,0,3,0,0,1,1.5640974034078807,0.747482569099718
2,0,1,1,1,0,0,4,2,0,4,0,0,1,-0.0638058987264165,-0.9039712636448393
2,0,2,3,0,0,0,2,4,0,0,0,0,1,-0.3918162655743719,-0.9826854182896732
2,0,1,2,2,0,0,9,30,0,0,0,0,1,2.8032476781668234,1.673531447274236
2,0,2,2,1,0,0,5,1,0,7,0,0,1,0.1791647433831801,-0.510400490420669
1,0,0,2,0,0,0,10,11,0,0,0,0,1,1.1753443760325262,0.4387996097082119
2,0,0,2,0,0,0,9,6,0,2,0,1,1,-0.20958828399217447,-0.23721607135918643
2,0,1,0,0,0,0,10,16,0,0,0,0,1,2.450940247107908,-0.4872492684663061
2,0,0,5,0,0,0,7,12,0,0,0,2,1,1.2360870365599252,-0.45792438732411295
2,0,2,1,2,0,0,7,18,0,6,0,0,1,0.2277588718050994,-0.3483419367401284
2,0,0,3,0,0,1,6,2,0,0,0,0,1,0.36139272496537755,1.0685128468668843
1,0,2,4,0,0,0,7,6,0,7,0,0,1,1.9528504307832353,0.1301166503167059
1,0,2,7,0,0,0,3,4,0,0,0,0,1,-0.8534604855826055,-0.5387993226846877
2,0,1,2,0,0,0,5,13,0,5,0,0,1,2.2930093297366705,-0.3329077887705531
2,1,0,3,0,0,0,5,31,0,0,0,1,1,0.4828780460201758,1.1518572459025906
2,0,0,2,2,0,0,10,6,0,0,0,1,1,0.23990740391057924,0.2535898340733083
2,0,2,1,0,0,0,10,1,0,8,0,2,1,1.1510473118215665,0.09616152478364043
2,0,1,1,0,0,0,11,12,0,3,0,0,1,-0.051657366620936666,-0.3761234030853641
2,0,2,0,0,0,1,6,5,0,0,0,0,1,1.0903046512941674,0.29063178920028915
2,0,0,3,0,0,0,9,8,0,0,0,0,1,1.1146017155051269,0.5962279189978799
2,0,1,3,0,0,1,8,15,0,0,0,1,1,1.187492908138006,0.19802690138283732
2,0,1,0,1,0,0,10,3,0,6,0,0,1,-0.6833810361058879,0.6240093853431156
3,0,1,2,0,0,1,5,13,0,6,0,0,1,0.1791647433831801,1.651923640116831
1,0,2,2,0,0,0,10,14,0,0,0,0,1,0.9445222660284094,0.28445813001245895
1,0,0,2,0,0,0,8,27,0,0,0,1,1,-0.8413119534771256,-0.7959322278578121
1,0,0,2,2,0,0,10,16,0,9,0,0,1,0.2156103396996196,-0.7959322278578121
1,0,0,2,0,0,1,3,8,0,8,0,0,1,-1.023539935059323,-0.9502737075535652
2,0,0,4,0,0,3,8,5,0,0,0,1,1,-0.6226383755784887,-1.1817859270971947
2,0,1,1,1,0,0,3,28,0,0,0,0,1,-0.2581824124140938,-0.7928453982638972
1,0,2,1,0,0,0,10,15,0,5,0,0,1,0.10627355075030112,0.28445813001245895
2,2,2,1,2,0,2,4,24,0,0,0,0,1,-0.33107360504697275,3.7910965486999673
1,0,2,4,0,0,0,7,6,0,0,0,0,1,1.9528504307832353,0.1301166503167059
2,0,0,1,0,0,0,4,6,0,4,0,0,1,0.2520559360160591,-0.9502737075535652
2,0,1,2,1,0,0,2,22,0,0,0,0,1,-0.5740442471565693,-1.107702016843233
2,1,1,2,0,0,0,10,21,0,0,0,0,1,-0.03950883451545684,0.901824048795471
2,0,1,2,0,0,0,5,13,0,4,0,0,1,2.2930093297366705,-0.3329077887705531
2,0,0,4,0,0,1,5,31,0,0,0,0,1,-0.8048663571606861,0.21654787894632752
2,0,0,2,0,0,0,2,5,0,0,0,1,1,-0.9263516782154844,-0.45638097252715554
2,0,0,4,0,0,3,8,17,0,0,0,1,1,1.7949195134119975,-0.7397519292485583
2,0,2,3,0,0,0,8,28,0,0,0,0,1,-0.7441236966332869,0.5560991342769841
1,2,2,3,0,0,2,5,13,0,0,0,0,1,-0.9020546140045247,3.371287723927519
2,0,0,2,0,0,0,4,15,0,9,0,0,1,0.4585809818092162,-0.6415907481620592
2,0,0,3,0,0,0,11,3,0,0,0,0,1,2.6696138250065453,-0.5181175644054568
3,0,0,3,0,0,1,4,6,0,0,0,0,1,-0.7198266324223273,1.8896095188482902
