no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,lead_time,avg_price_per_room,booking_status
2,1,1,0,1,0,0,9,13,0,0,0,1,-0.89,-0.57,0
2,0,0,2,0,0,0,9,15,0,0,0,0,2.83,0.44,1
2,0,1,2,1,0,0,12,16,0,0,0,0,1.22,-0.82,1
2,0,1,3,0,0,0,6,30,0,0,0,1,0.92,-0.46,0
2,0,0,4,0,0,0,10,18,0,0,0,1,0.24,-0.44,0
2,1,0,1,0,0,0,11,5,0,0,0,1,-0.89,1.36,1
2,0,0,1,1,0,0,3,22,0,0,0,0,-1,-0.52,0
2,0,1,4,1,0,0,8,17,0,0,0,1,-0.85,-0.44,0
2,0,0,2,0,0,0,5,20,0,0,0,0,-0.76,1.06,0
1,1,2,5,1,0,0,10,24,0,0,0,0,-0.57,-0.56,0
2,0,0,2,2,0,0,7,21,0,0,0,0,2.52,0.28,1
2,0,0,3,0,0,0,9,9,0,0,0,1,-0.89,-0.77,0
2,0,1,3,0,0,0,3,31,0,0,0,1,0.02,-0.72,0
2,0,0,1,1,0,0,10,11,0,0,0,0,0.3,0.07,1
2,0,1,1,0,0,1,4,2,0,0,0,1,-0.15,-0.29,0
2,0,1,5,0,0,0,8,22,0,0,0,0,1.36,-0.2,1
2,0,0,2,0,0,1,5,13,0,0,0,1,-0.34,1.07,0
2,0,1,3,0,0,0,8,8,0,0,0,0,1.27,-1.04,0
2,0,1,4,0,0,1,8,15,0,0,0,0,0.51,0.62,0
2,0,2,3,0,0,0,8,19,0,0,0,0,2.66,-0.86,1
1,0,2,2,0,0,1,11,6,0,0,0,1,-0.04,1.26,0
2,0,1,2,0,0,0,10,10,0,0,0,0,-0.37,0.4,1
1,0,0,1,0,0,0,10,6,0,0,0,0,-0.84,1.21,1
2,0,0,4,0,0,0,4,6,0,0,0,0,0.02,-0.65,1
2,0,1,2,2,0,0,3,25,0,0,0,0,0.93,0.75,1
2,0,4,10,0,0,1,8,3,0,0,0,1,0.76,0.4,1
2,0,1,2,0,0,0,5,30,0,0,0,0,0.09,-0.13,0
2,0,0,1,0,0,0,9,11,0,0,0,0,0.03,-0.18,1
2,0,2,1,0,0,0,3,20,0,0,0,0,0.3,-1.48,0
2,0,0,4,0,0,0,3,23,0,0,0,2,0.52,-1.37,0
2,0,1,4,1,0,0,8,24,0,0,0,1,0.87,-0.57,0
2,0,0,2,0,0,0,7,16,0,0,0,1,-0.05,-0.9,1
2,0,2,2,1,0,0,12,16,0,0,0,0,1.54,-1.3,1
2,0,1,2,0,0,0,5,13,0,0,0,0,2.29,-0.33,1
2,0,2,1,0,0,0,11,19,0,0,0,1,-0.32,-0.95,0
2,0,1,3,0,0,0,5,2,0,0,0,1,0.32,-0.13,0
2,0,2,3,0,0,0,8,21,0,0,0,0,-0.61,-0.64,0
2,0,2,4,0,0,0,12,3,0,0,0,0,-0.82,-0.23,0
2,0,0,3,0,0,0,9,22,0,0,0,1,-0.95,0.01,0
2,0,1,1,0,0,0,7,18,0,0,0,1,-0.63,-0.02,0
2,0,0,1,0,0,0,9,22,0,0,0,2,-0.97,1.21,0
3,0,2,1,0,0,0,8,13,0,0,0,1,1.35,0.01,1
2,0,2,2,0,0,0,8,13,0,0,0,1,0.42,0.26,0
1,0,1,1,1,0,0,12,5,0,0,0,0,-0.87,-0.55,0
2,0,0,2,0,0,0,10,15,0,0,0,2,-0.31,-0.51,0
2,1,2,5,0,0,1,3,20,0,0,0,1,-0.08,-0.6,0
2,0,0,3,0,0,0,10,13,0,0,0,1,3.05,-0.49,0
2,0,2,5,0,0,0,8,22,0,0,0,0,0.23,-1.54,0
1,0,0,2,1,0,0,6,8,0,0,0,1,-1.02,0.1,0
2,0,0,1,0,0,0,3,1,0,0,0,0,0.41,-0.61,0
2,0,1,5,0,0,0,9,5,0,0,0,0,-0.34,0.41,0
2,0,0,2,0,0,0,6,10,0,0,0,1,0.28,0.75,0
2,0,1,3,1,0,0,4,14,0,0,0,1,-0.17,-0.47,0
2,0,0,2,0,0,0,4,1,0,0,0,1,-0.1,-0.57,0
2,2,2,2,0,0,2,5,27,0,0,0,1,0.73,2.22,1
1,2,2,2,0,0,2,9,19,0,0,0,2,-0.97,2.93,0
2,1,0,2,0,0,0,3,18,0,0,0,1,-0.84,0.65,0
1,0,1,2,0,0,0,2,5,0,0,0,0,-0.63,-1.02,1
3,0,1,1,0,0,1,5,7,0,0,0,0,-0.43,1.65,1
2,1,1,3,0,0,0,5,12,0,0,0,1,-0.09,0.91,0
1,0,0,2,0,0,0,10,28,0,0,0,0,-0.76,-0.49,0
2,0,1,0,1,0,0,10,18,0,0,0,0,-1.02,0.25,0
2,1,0,1,0,1,0,6,21,0,0,0,1,-0.32,0.6,0
2,0,2,6,1,0,0,8,14,0,0,0,1,-0.97,-0.33,0
2,0,0,2,0,0,4,4,29,0,0,0,0,0.4,0,1
2,0,1,3,0,0,0,12,26,0,0,0,0,-0.59,-0.12,1
2,0,2,2,1,0,0,12,2,0,0,0,2,-0.6,-0.96,0
2,0,1,0,1,0,0,4,24,0,0,0,0,-0.65,-0.35,1
2,0,2,4,1,0,0,6,16,0,0,0,0,-0.06,0.46,0
2,0,1,2,0,0,0,10,9,0,0,0,0,-1.01,1.04,0
2,0,0,2,0,0,0,9,3,0,0,0,0,-0.77,-0.02,0
2,0,0,2,1,0,0,9,14,0,0,0,1,-0.88,-0.18,0
2,0,1,0,0,0,0,2,8,0,0,0,1,-0.62,-0.79,0
1,0,0,2,0,0,0,10,2,0,0,0,0,0.97,-0.18,0
2,0,0,3,0,1,0,3,24,0,0,0,1,-0.08,-0.01,0
2,0,0,4,0,0,1,5,31,0,0,0,0,-0.8,0.22,1
2,0,1,2,0,0,0,8,15,0,0,0,0,-0.77,1.4,1
1,0,1,3,0,0,0,11,9,0,0,0,1,-1.02,-0.46,0
3,0,2,1,0,0,1,8,13,0,0,0,1,0.82,1.26,1
2,0,2,3,0,0,0,10,2,0,0,0,0,-0.5,-1.46,0
2,0,0,4,1,0,0,7,26,0,0,0,1,1.13,-0.77,1
2,0,1,1,1,0,0,5,21,0,0,0,0,-0.45,-0.9,0
3,0,0,3,0,0,1,9,7,0,0,0,0,-0.33,1.06,0
2,0,2,4,1,0,0,11,15,0,0,0,1,-0.29,-0.92,0
2,0,0,1,0,0,0,9,16,0,0,0,0,-1.02,2.91,0
2,0,0,2,2,0,0,10,16,0,0,0,0,0.22,-0.13,1
2,0,0,3,1,0,0,10,18,0,0,0,1,-0.16,0.07,0
3,0,2,3,2,0,1,7,23,0,0,0,1,0.32,2.57,0
3,0,1,1,0,0,1,6,11,0,0,0,3,-1.01,1.86,0
2,0,1,1,1,0,0,1,16,0,0,0,0,-0.97,-1.18,0
2,0,1,3,0,0,1,9,14,0,0,0,1,-0.72,-0.84,0
1,0,2,2,0,0,0,11,6,0,0,0,1,1.52,1.43,1
1,0,2,1,0,0,0,10,15,0,0,0,0,0.11,0.28,1
2,0,2,5,1,0,0,9,2,0,0,0,2,-0.38,-1.21,0
2,0,0,3,0,0,0,12,29,0,0,0,2,2.65,-0.48,1
2,0,0,2,0,0,0,4,15,0,0,0,0,0.46,-0.64,0
1,0,0,1,0,0,0,3,11,0,0,0,0,-0.83,-0.95,0
2,0,2,4,0,0,0,8,28,0,0,0,1,-0.68,0.3,1
2,0,1,2,2,0,0,3,25,0,0,0,0,0.93,0.75,1
3,0,0,2,0,0,1,12,9,0,0,0,2,-0.33,0.62,0
2,0,1,0,0,0,0,6,12,0,0,0,1,-0.79,-0.35,0
3,0,2,4,0,0,1,7,6,0,0,0,4,0.3,0.39,0
1,0,0,2,2,0,0,6,15,0,0,0,0,1.88,-0.47,1
1,0,2,1,0,0,0,3,5,0,0,0,2,-0.62,-0.71,0
2,0,0,3,0,0,0,8,18,0,0,0,1,-0.89,-0.32,0
3,0,2,5,0,0,1,4,21,0,0,0,1,-0.54,0.92,0
3,0,1,1,0,0,1,6,18,0,0,0,0,-0.48,0.51,0
2,0,1,3,1,0,0,5,9,0,0,0,0,-0.53,0.32,1
2,0,0,4,1,0,0,6,28,0,0,0,0,1.01,-1.35,1
2,0,0,4,1,0,0,3,9,0,0,0,0,-0.27,-1.3,1
1,0,1,4,0,0,0,9,7,0,0,0,0,0.35,0.4,1
2,0,0,2,1,1,0,8,10,0,0,0,0,-1.01,1.89,0
2,2,2,2,0,0,2,5,13,0,0,0,1,0,2.53,0
3,0,1,2,0,0,0,10,28,0,0,0,0,1.95,0.71,1
2,0,1,3,0,0,0,3,17,0,0,0,1,-0.05,-0.79,0
2,0,1,1,0,0,0,8,22,0,0,0,1,-0.94,1.06,1
2,1,1,1,0,0,0,8,8,0,0,0,2,0.53,-0.9,0
2,0,2,1,0,0,0,5,1,0,0,0,1,0.19,-0.01,0
2,0,2,1,0,0,0,4,3,0,0,0,1,0.41,-0.57,1
1,0,0,3,0,0,0,11,1,0,0,0,0,0.99,0.13,1
1,0,0,1,2,0,0,9,4,0,0,0,0,-0.53,-0.7,0
2,0,2,2,0,0,0,8,13,0,0,0,1,1.09,-0.2,0
2,1,2,1,2,0,0,12,27,0,0,0,3,-0.7,-0.04,0
2,0,2,6,0,0,0,11,16,0,0,0,2,-1,-0.41,0
1,0,0,3,0,0,0,10,13,0,0,0,0,-0.57,-0.33,0
1,0,0,2,0,0,0,6,15,0,0,0,0,1.26,0.75,1
2,0,2,1,0,0,0,1,2,1,1,0,1,-0.2,-1.32,0
2,0,1,2,0,0,1,10,28,0,0,0,0,1.27,0.12,1
2,0,1,0,0,0,0,5,16,0,0,0,0,-0.9,-0.09,0
3,0,2,1,0,0,1,2,20,0,0,0,1,-0.79,0.75,0
2,0,0,2,0,0,0,3,23,0,0,0,0,-0.28,0.35,1
2,0,0,4,0,0,1,12,29,0,0,0,0,0.13,-1.4,0
2,0,0,1,2,0,0,9,30,0,0,0,0,-0.02,0.2,0
2,0,1,3,0,0,0,8,1,0,0,0,0,-0.57,0.93,1
2,0,1,0,0,0,0,7,25,0,0,0,1,-0.79,1.4,1
2,2,0,2,0,0,2,9,16,0,0,0,2,-0.76,4.11,0
2,0,2,1,0,0,0,12,26,0,0,0,0,-0.76,-1.44,0
2,0,2,5,0,0,0,7,9,0,0,0,0,0.81,-0.08,1
2,0,2,1,0,0,0,2,28,0,0,0,0,-0.71,-0.58,0
3,0,1,0,0,0,1,4,17,0,0,0,0,-0.7,0.96,1
2,0,0,2,2,0,0,6,24,0,0,0,0,-0.06,0.1,0
2,0,1,1,2,0,0,6,6,0,0,0,1,1.98,0.28,1
2,0,2,3,0,0,1,7,17,0,0,0,1,1.27,-0.2,0
2,0,0,2,2,0,0,8,18,0,0,0,1,2.86,0.28,1
3,0,1,2,0,0,1,2,22,0,0,0,2,-0.7,0.75,0
1,0,1,0,0,0,0,5,22,1,0,3,0,-0.4,-1.26,0
2,0,0,2,0,0,0,6,17,0,0,0,0,1.95,-0.95,1
2,1,1,2,0,0,0,7,8,0,0,0,0,-0.39,0.84,1
1,0,2,0,0,0,0,10,18,0,0,0,0,-0.87,0.44,0
2,0,0,2,1,0,0,11,11,0,0,0,1,-0.46,-0.82,1
3,0,2,1,0,0,1,8,28,0,0,0,0,0,1.65,1
1,0,0,2,0,0,0,6,15,0,0,0,0,1.26,0.75,1
2,0,0,3,0,0,0,10,6,1,1,0,0,-0.79,-0.49,0
2,0,0,2,0,0,1,5,27,0,0,0,1,-0.21,1.07,0
2,0,0,1,0,0,0,8,11,0,0,0,0,-1.02,-0.95,0
2,0,0,2,2,0,0,7,17,0,0,0,0,2.29,0.1,1
2,0,2,1,2,0,0,7,25,0,0,0,0,0.31,-0.35,1
1,0,0,1,0,0,0,12,15,1,0,1,0,-1.02,-0.95,0
2,0,1,2,0,0,1,10,23,0,0,0,1,-0.63,-0.95,0
2,0,2,1,0,0,0,10,10,0,0,0,0,2.4,-0.9,0
2,0,2,2,0,0,0,10,2,0,0,0,0,-0.56,0.62,0
2,0,1,1,1,0,0,7,23,0,0,0,1,1.1,-0.63,0
2,0,0,3,0,0,1,8,18,0,0,0,0,0.71,1.08,1
2,0,2,2,0,0,1,6,26,0,0,0,1,0.52,-0.06,0
1,0,0,1,0,0,0,9,8,0,0,0,0,-1.02,1.12,0
2,1,2,5,0,0,0,12,21,0,0,0,3,0.13,-0.06,0
1,0,1,2,0,0,0,6,6,0,0,0,0,0.41,0.13,0
2,0,0,3,0,0,0,11,10,0,0,0,0,-0.48,-0.95,0
3,0,1,1,0,0,1,7,25,0,0,0,0,-0.19,0.99,0
2,0,0,1,1,0,0,9,7,0,0,0,3,-0.33,-0.57,0
2,0,0,2,2,0,0,8,14,0,0,0,0,-0.55,-0.13,0
2,0,0,1,0,0,0,2,24,0,0,0,1,-1.02,-0.27,0
3,0,1,1,0,0,1,8,15,0,0,0,1,0.06,1.37,0
2,0,0,4,0,0,0,3,29,0,0,0,0,0.01,-0.72,0
1,0,0,1,0,1,1,7,1,1,0,3,1,-0.97,-0.09,0
1,0,2,6,0,0,0,7,5,0,0,0,0,-0.89,1.21,1
1,0,1,1,0,0,0,7,11,0,0,0,1,-0.88,1.21,0
2,0,2,2,0,0,1,5,14,0,0,0,1,-0.09,0.9,0
2,1,1,1,0,0,2,10,22,0,0,0,1,-0.85,1.93,0
1,0,2,1,0,0,0,2,28,0,0,0,0,-1.01,-1.41,1
2,0,1,3,0,0,0,6,13,0,0,0,0,0.59,-0.92,0
2,0,1,2,0,0,0,8,10,0,0,0,1,-0.99,-1.31,0
2,0,2,0,0,0,0,9,18,0,0,0,0,-0.79,-0.33,0
2,0,2,2,0,0,1,9,3,0,0,0,3,0.02,-0.46,0
2,0,0,2,0,0,0,10,16,0,0,0,2,-0.74,-0.23,0
2,0,0,1,0,0,0,9,22,0,0,0,1,-0.23,0.93,0
2,0,0,2,0,0,1,11,16,0,0,0,1,-1.01,0.75,0
2,0,0,1,0,0,1,11,19,0,0,0,2,-0.22,-0.74,0
3,0,1,4,0,0,0,2,22,0,0,0,1,-0.42,-0.83,0
2,0,2,3,2,0,0,6,26,0,0,0,0,0.03,1.1,1
2,0,1,1,0,0,0,4,9,0,0,0,1,0.91,-1.1,0
2,0,2,3,2,0,0,8,13,0,0,0,2,-0.55,1.99,0
2,2,0,5,0,0,2,12,29,0,0,0,0,-0.76,2.88,0
2,0,2,2,0,0,1,7,10,0,0,0,0,0.22,-0.72,0
4,0,0,3,0,0,5,10,20,0,0,0,1,0.02,2.69,0
2,0,2,2,0,0,0,9,25,0,0,0,0,-0.34,2.45,0
2,0,2,6,0,0,0,12,10,0,0,0,1,-0.59,-1.16,0
2,0,0,3,0,0,0,10,4,0,0,0,1,-0.42,0.4,0
2,0,0,2,0,0,1,10,27,0,0,0,0,0.37,-0.04,1
1,0,0,1,0,0,0,3,23,1,0,12,0,-1.02,-1.26,0
2,0,1,3,1,0,0,3,3,0,0,0,0,-0.6,-1.07,1
2,0,2,1,0,0,0,5,21,0,0,0,0,-0.82,-0.33,0
2,0,4,11,0,0,1,9,13,0,0,0,1,1.86,0.33,1
2,0,0,4,0,0,0,9,7,0,0,0,2,0.5,0.93,0
2,2,2,2,0,0,2,12,2,0,0,0,0,-0.63,1.3,1
2,0,2,0,1,0,0,9,18,0,0,0,0,-0.96,0.55,0
2,0,2,1,0,0,0,6,19,0,0,0,0,0.08,0.93,1
